Order,PlotNo,Date,Year,Forager ID,StartTime,StopTime,Duration_min,Species,CommonName,PartCollected,GrossWt_lb,GrossWt_n,EdibleWt_lb,EdibleWt_g,EdibleWt_n,ProcessingTime_min,excel_row,exclusion
264.0,Plot03,2017-09-04,2017,16,12:46:00,13:26:00,40,Unknown sp 4,,,,,0.06,27.22,1.0,,102,author species exclusion
267.0,Plot08,2017-09-04,2017,16,14:26:00,15:31:00,65,Tritonia crocata,Hanekammetjie,Corm,,,0.07,31.75,17.0,,103,
269.0,Plot09,2017-09-04,2017,16,16:12:00,17:11:00,59,Cyphia digitata,baroe,Tuber,,,0.02,9.07,1.0,,104,
270.0,Plot09,2017-09-04,2017,16,16:12:00,17:11:00,59,Tritonia crocata,,Corm,,,0.04,18.14,4.0,,105,
273.0,Plot18,2017-09-04,2017,16,10:05:00,10:55:00,50,Ferraria crispa,,Corm,,,0.14,63.5,27.0,,106,
12.0,Plot10,2016-09-04,2016,17,10:48:00,11:27:00,39,Watsonia fourcadii,waspypie,Corm,,,1.25,566.99,40.0,white: 0.9(40),107,
89.0,Plot18,2016-08-31,2016,17,10:35:00,14:31:00,236,Cyphia digitata,baroe,Tuber,,,1.15,521.63,10.0,,108,
135.0,Plot04,2016-09-02,2016,17,11:28:00,12:13:00,45,Freesia sp,vrot patat/ Mike bulb,Corm,0.04,4.0,0.03,13.61,4.0,,109,
138.0,Plot04,2016-09-02,2016,17,11:28:00,12:13:00,45,Euphorbia burmannii,bobbejaanbolle,,,,0.42,190.51,118.0,,110,author species exclusion
149.0,Plot05,2016-09-02,2016,17,13:22:00,15:39:00,137,Oxalis pes-caprae,suuring,Leaves,,,0.41,185.97,1063.76,,111,author part exclusion
216.0,Plot04,2017-08-31,2017,17,12:49:00,13:29:00,40,Euphorbia burmannii,bobbejaanbolle,,,,0.31,140.61,78.0,,112,author species exclusion
219.0,Plot05,2017-08-31,2017,17,13:52:00,14:17:00,25,Mesembryanthemum atenus,,Leaves,,,2.41,1093.16,20.0,,113,author part exclusion
222.0,Plot10,2017-08-31,2017,17,10:02:00,10:52:00,50,Watsonia fourcadii,pypie,Corm,,,0.04,18.14,3.0,,114,
223.0,Plot10,2017-08-31,2017,17,10:02:00,10:52:00,50,Unknown sp 9,Langblaar,Corm,,,0.03,13.61,28.0,,115,author species exclusion
11.0,Plot10,2016-09-04,2016,18,10:48:00,11:27:00,39,Watsonia fourcadii,waspypie,Corm,,,0.53,240.4,16.0,white: 0.31(16),116,
18.0,Plot11,2016-09-01,2016,19,11:20:00,12:02:00,42,Conicosia pugioniformis,varkwortel,Root,0.49,7.0,0.15,68.04,7.0,,117,
32.0,Plot12,2016-09-01,2016,19,13:50:00,14:33:00,43,Chasmanthe aethiopica,pypie,Corm,,,0.22,99.79,10.0,,118,
34.0,Plot12,2016-09-01,2016,19,13:50:00,14:33:00,43,Pelargonium lobatum,platblaar patat,Tuber,,,0.34,154.22,6.0,,119,
46.0,Plot14,2015-08-25,2015,19,11:07:00,11:59:00,52,Pelargonium lobatum,platblaar patat,Tuber,,,0.285,129.27,24.0,1,120,
52.0,Plot14,2016-09-01,2016,19,08:22:00,09:11:00,49,Babiana patula,bobbejaantjie,Corm,0.08,2.0,0.06,27.22,2.0,,121,
53.0,Plot14,2016-09-01,2016,19,08:22:00,09:11:00,49,Chasmanthe aethiopica,pypie,Corm,,,0.01,4.54,1.0,,122,
55.0,Plot14,2016-09-01,2016,19,08:22:00,09:11:00,49,Pelargonium lobatum,platblaar patat,Tuber,,,0.83,376.48,26.0,,123,
60.0,Plot15,2015-08-25,2015,19,13:55:00,14:31:00,36,Pelargonium lobatum,platblaar patat,Tuber,,,0.615,278.96,8.0,1,124,
64.0,Plot15,2016-09-01,2016,19,10:06:00,10:38:00,32,Pelargonium lobatum,platblaar patat,Tuber,,,0.08,36.29,4.0,,125,
65.0,Plot15,2016-09-01,2016,19,10:06:00,10:38:00,32,Pelargonium triste,kaneelbol,Tuber,,,0.08,36.29,2.0,,126,
68.0,Plot16,2015-08-26,2015,19,12:01:00,14:01:00,120,Chasmanthe aethiopica,pypie,Corm,,,0.57,258.55,64.0,,127,
70.0,Plot16,2015-08-26,2015,19,12:01:00,14:01:00,120,Microloma saggitatum,Por – porkie,seedpod,,,0.065,29.48,2.0,,128,author part exclusion
74.0,Plot16,2016-09-01,2016,19,15:18:00,16:05:00,47,Chasmanthe aethiopica,pypie,Corm,,,0.6,272.16,36.0,white: .35(26),129,
77.0,Plot17,2015-08-26,2015,19,16:26:00,17:20:00,54,Kedrostis nana,?,Tuber,,,0.02,9.07,2.0,,130,
81.0,Plot17,2016-09-03,2016,19,08:44:00,09:33:00,49,Euphorbia burmannii,bobbejaanbolle,,,,0.69,312.98,100.0,,131,author species exclusion
81.0,Plot17,2016-09-03,2016,19,08:44:00,09:33:00,49,Kedrostis nana,,,,,0.0,0.0,0.0,,132,
95.0,Plot19,2016-09-04,2016,19,08:39:00,09:00:00,21,Babiana patula,bobbejaantjie,Corm,,,0.02,9.07,1.0,,133,
97.0,Plot19,2016-09-04,2016,19,08:39:00,09:00:00,21,Babiana patula,bobbejaantjie,Corm,,,0.01,4.54,1.0,,134,
107.0,Plot02,2016-09-01,2016,19,10:15:00,13:00:00,165,Satyrium longicolle,,Tuber,,,0.74,335.66,86.0,,135,
121.0,Plot20,2016-09-03,2016,19,14:30:00,15:31:00,61,Babiana patula,bobbejaantjie,Corm,,,0.01,4.54,1.0,,136,
123.0,Plot20,2016-09-03,2016,19,14:30:00,15:31:00,61,Satyrium longicolle,,Tuber,,,0.11,49.9,20.0,,137,
152.0,Plot06,2015-10-05,2015,19,10:46:00,12:14:00,88,Chasmanthe aethiopica,pypie,Corm,,,0.695,315.25,68.0,,138,
158.0,Plot07,2015-10-05,2015,19,14:00:00,15:00:00,60,Satyrium carneum,?,Tuber,,,0.525,238.14,143.0,,139,
162.0,Plot07,2016-09-03,2016,19,11:29:00,12:15:00,46,Albuca fragrans,,Bulb,0.11,1.0,0.09,40.82,1.0,,140,
165.0,Plot07,2016-09-03,2016,19,11:29:00,12:15:00,46,Babiana tubulosa,bobbejaantjie (Babiana white),Corm,,,0.08,36.29,8.0,,141,
166.0,Plot07,2016-09-03,2016,19,11:29:00,12:15:00,46,Chasmanthe aethiopica,pypie,Corm,,,0.08,36.29,6.0,,142,
168.0,Plot07,2016-09-03,2016,19,11:29:00,12:15:00,46,Satyrium carneum,?,Tuber,,,0.87,394.63,80.0,,143,
44.0,Plot14,2015-08-25,2015,20,11:07:00,11:59:00,52,Babiana patula,bobbejaantjie,Corm,,,0.025,11.34,4.0,,144,
47.0,Plot14,2015-08-25,2015,20,11:07:00,11:59:00,52,Pelargonium lobatum,platblaar patat,Tuber,,,0.375,170.1,20.0,,145,
