age_ka,PC1,sigma,q025,q25,median,q75,q975
310.0,-24.1,11.5,-47.32,-35.85,-28.71,-21.4,-2.16
311.0,-22.22,11.34,-44.13,-33.4,-26.23,-18.78,-0.47
312.0,-21.88,11.5,-41.69,-30.04,-22.79,-15.37,2.81
313.0,-18.42,11.79,-39.75,-28.18,-20.59,-12.76,5.31
314.0,-12.39,11.84,-37.87,-25.52,-17.91,-10.28,8.08
315.0,-12.12,11.74,-36.81,-22.74,-15.56,-7.98,9.2
316.0,-9.85,11.38,-34.64,-21.02,-13.71,-6.62,11.03
317.0,-10.45,11.21,-33.84,-20.57,-13.19,-6.12,10.57
318.0,-10.88,10.65,-33.02,-19.83,-12.42,-5.69,9.32
319.0,-11.31,10.57,-32.95,-19.11,-11.78,-4.95,8.94
320.0,-8.44,10.89,-32.93,-17.92,-10.2,-2.93,9.94
321.0,-6.92,11.43,-32.43,-16.51,-8.21,-0.92,12.01
322.0,-2.51,11.42,-31.39,-14.51,-6.56,1.0,14.09
323.0,-0.71,11.56,-30.6,-13.78,-6.11,1.69,14.09
324.0,-2.6,11.63,-31.24,-14.06,-6.19,1.56,15.55
325.0,-7.77,11.33,-31.62,-13.95,-6.41,0.84,13.45
326.0,-7.75,10.74,-32.07,-13.95,-6.31,0.52,12.16
327.0,-3.06,10.95,-31.6,-14.03,-6.49,0.21,12.43
328.0,-0.61,11.34,-31.93,-14.44,-6.51,1.11,13.74
329.0,-1.75,12.28,-36.17,-16.47,-8.13,-0.31,13.26
330.0,-6.91,14.31,-43.22,-24.7,-14.93,-4.91,11.35
331.0,-16.42,14.71,-50.72,-32.24,-22.47,-12.09,7.66
332.0,-34.02,15.01,-59.96,-41.6,-31.16,-21.32,-2.48
333.0,-36.93,14.93,-70.56,-52.26,-42.09,-32.57,-12.17
334.0,-48.06,14.72,-81.97,-63.01,-53.28,-43.87,-22.33
335.0,-58.42,15.56,-91.03,-73.54,-63.59,-52.88,-29.64
336.0,-74.42,15.43,-99.04,-84.2,-74.83,-64.84,-37.25
337.0,-85.7,13.57,-105.56,-92.14,-83.87,-75.61,-50.24
338.0,-91.22,10.66,-111.45,-97.98,-91.02,-84.04,-70.11
339.0,-93.28,9.94,-115.29,-103.47,-97.17,-89.91,-76.44
340.0,-96.85,9.92,-118.92,-107.96,-101.38,-94.48,-80.68
341.0,-103.88,10.14,-122.21,-111.55,-104.5,-97.6,-82.82
342.0,-108.11,10.24,-124.95,-114.67,-108.09,-100.73,-84.19
343.0,-108.58,9.81,-126.14,-116.8,-110.37,-103.74,-87.27
344.0,-108.8,9.8,-126.25,-116.99,-110.95,-104.1,-88.11
345.0,-109.04,9.73,-126.09,-116.1,-109.88,-103.33,-88.15
346.0,-105.84,9.4,-124.52,-114.7,-108.79,-102.09,-87.98
347.0,-103.3,8.87,-122.26,-112.44,-107.26,-100.91,-87.03
348.0,-102.66,7.97,-119.25,-109.11,-104.25,-98.93,-86.87
349.0,-101.03,7.71,-116.23,-106.0,-100.87,-95.56,-85.74
350.0,-97.04,8.01,-113.59,-102.62,-97.83,-92.69,-81.57
351.0,-89.97,7.9,-109.5,-99.23,-94.47,-89.32,-78.18
352.0,-85.13,6.99,-103.99,-95.93,-91.14,-87.01,-76.67
353.0,-84.01,6.34,-100.74,-93.76,-90.12,-86.26,-74.97
354.0,-86.49,6.59,-101.15,-94.94,-91.31,-87.43,-74.89
355.0,-91.12,6.18,-102.67,-96.11,-92.69,-89.3,-77.23
356.0,-94.94,5.36,-104.3,-97.03,-93.96,-90.66,-82.64
357.0,-92.98,5.05,-105.54,-97.45,-94.44,-91.14,-85.04
358.0,-91.88,5.71,-105.08,-96.66,-92.84,-89.36,-82.6
359.0,-88.63,6.18,-102.37,-93.9,-89.68,-85.79,-77.46
360.0,-84.77,7.21,-99.94,-89.97,-85.67,-80.82,-70.5
361.0,-78.88,8.03,-94.43,-85.33,-80.8,-75.42,-62.55
362.0,-71.15,7.99,-89.74,-80.99,-76.52,-71.64,-57.9
363.0,-66.07,7.2,-85.09,-76.48,-72.4,-68.0,-56.4
364.0,-66.4,8.01,-81.76,-73.21,-68.62,-63.54,-50.81
365.0,-65.1,9.52,-79.82,-71.11,-64.5,-58.09,-43.21
