camp,resource,day,daily_gain_kcal_per_capita,cumulative_gain_kcal_per_capita,complete_camp
11,tot_meat,3,421.8057575447609,1147.29296680045,True
11,tot_meat,4,309.52566422658015,1456.81863102703,True
11,tot_meat,5,210.90287877237006,1667.7215097994,True
11,tot_meat,6,372.14758039215985,2039.86909019156,True
11,tot_meat,7,179.9793012705902,2219.84839146215,True
11,tot_meat,8,870.93302438503,3090.78141584718,True
11,tot_meat,9,0.0,3090.78141584718,True
11,tot_meat,10,530.0055293708397,3620.78694521802,True
11,tot_meat,11,1261.1992150588198,4881.98616027684,True
11,tot_meat,12,1253.1543332025703,6135.14049347941,True
11,tot_meat,13,0.0,6135.14049347941,True
11,tot_meat,14,125.50564528104042,6260.64613876045,True
11,tot_meat,15,120.38317996983915,6381.02931873029,True
11,tot_meat,16,88.25902649616,6469.28834522645,True
11,tot_meat,17,349.3517960102308,6818.64014123668,True
11,tot_meat,18,22.825182494119872,6841.4653237308,True
11,tot_meat,19,485.0766211764694,7326.54194490727,True
11,tot_meat,20,4.176941176469882,7330.71888608374,True
11,tot_meat,21,0.0,7330.71888608374,True
11,tot_meat,22,880.7970226625403,8211.51590874628,True
11,tot_meat,23,106.42590813299103,8317.94181687927,True
11,tot_meat,24,51.97249512604867,8369.91431200532,True
11,tot_meat,25,434.89628105477095,8804.81059306009,True
11,tot_meat,26,0.0,8804.81059306009,True
11,tot_meat,27,93.15657200810892,8897.9671650682,True
11,tot_rat,1,4341.37492619898,4341.37492619898,True
11,tot_rat,2,11441.83036728432,15783.2052934833,True
11,tot_rat,3,1260.5050197580003,17043.7103132413,True
11,tot_rat,4,5178.2412296656,22221.9515429069,True
11,tot_rat,5,2015.7246641042002,24237.6762070111,True
11,tot_rat,6,3009.7615672825996,27247.4377742937,True
11,tot_rat,7,33625.5789784325,60873.0167527262,True
11,tot_rat,8,4693.808216441299,65566.8249691675,True
11,tot_rat,9,2791.599968397306,68358.4249375648,True
11,tot_rat,10,2058.449248389996,70416.8741859548,True
11,tot_rat,11,8429.2765305902,78846.150716545,True
11,tot_rat,12,20586.625229543904,99432.7759460889,True
11,tot_rat,13,19110.336031633095,118543.111977722,True
11,tot_rat,14,8466.549450061997,127009.661427784,True
11,tot_rat,15,2068.853308013,129078.514735797,True
11,tot_rat,16,838.8009457139997,129917.315681511,True
11,tot_rat,17,3114.77933094099,133032.095012452,True
11,tot_rat,18,6644.2688801140175,139676.363892566,True
11,tot_rat,19,1376.9762316209963,141053.340124187,True
11,tot_rat,20,13093.14193788101,154146.482062068,True
11,tot_rat,21,6097.589538600994,160244.071600669,True
11,tot_rat,22,8578.128220401006,168822.19982107,True
11,tot_rat,23,1549.6212942379934,170371.821115308,True
11,tot_rat,24,7051.205608805001,177423.026724113,True
11,tot_rat,25,3147.7564885869797,180570.7832127,True
11,tot_rat,26,797.1776888890017,181367.960901589,True
11,tot_rat,27,2960.8151957850205,184328.776097374,True
11,tot_rat_only,1,1294.53634578755,1294.53634578755,True
11,tot_rat_only,2,10666.87098964805,11961.4073354356,True
11,tot_rat_only,3,308.5458550723997,12269.953190508,True
11,tot_rat_only,4,1326.3798603175,13596.3330508255,True
11,tot_rat_only,5,1542.7292753623005,15139.0623261878,True
11,tot_rat_only,6,394.2530370370987,15533.3153632249,True
11,tot_rat_only,7,30827.433471999997,46360.7488352249,True
11,tot_rat_only,8,2645.0794666666043,49005.8283018915,True
11,tot_rat_only,9,276.48914285720093,49282.3174447487,True
11,tot_rat_only,10,0.0,49282.3174447487,True
11,tot_rat_only,11,5298.760817777693,54581.0782625264,True
11,tot_rat_only,12,18451.04213333341,73032.1203958598,True
11,tot_rat_only,13,17741.3866666666,90773.5070625264,True
11,tot_rat_only,14,5677.243733333395,96450.7507958598,True
11,tot_rat_only,15,0.0,96450.7507958598,True
11,tot_rat_only,16,0.0,96450.7507958598,True
11,tot_rat_only,17,2221.530156521694,98672.2809523815,True
11,tot_rat_only,18,4201.160362666502,102873.441315048,True
11,tot_rat_only,19,0.0,102873.441315048,True
11,tot_rat_only,20,0.0,102873.441315048,True
11,tot_rat_only,21,2483.7941333339986,105357.235448382,True
11,tot_rat_only,22,6797.752364912012,112154.987813294,True
11,tot_rat_only,23,0.0,112154.987813294,True
11,tot_rat_only,24,963.1038476190006,113118.091660913,True
11,tot_rat_only,25,0.0,113118.091660913,True
